count_date,time,time_zone
2021-05-04,2021-05-04 19:10,America/Chicago
2021-05-11,2021-05-11 17:31,America/Chicago
2021-05-18,2021-05-18 15:08,America/Chicago
2021-05-25,2021-05-25 06:34,America/Chicago
2021-06-01,2021-06-01 23:54,America/Chicago
2021-06-08,2021-06-08 08:47,America/Chicago
2021-06-15,2021-06-15 19:34,America/Chicago
2021-06-22,2021-06-22 12:58,America/Chicago
2021-06-29,2021-06-29 23:30,America/Chicago
2021-07-06,2021-07-06 17:02,America/Chicago
2021-07-13,2021-07-13 23:58,America/Chicago
2021-07-20,2021-07-20 00:56,America/Chicago
2021-07-27,2021-07-27 09:18,America/Chicago
2021-08-03,2021-08-03 07:48,America/Chicago
2021-08-10,2021-08-10 14:10,America/Chicago
2021-08-17,2021-08-17 15:01,America/Chicago
2021-08-24,2021-08-24 23:26,America/Chicago
2021-08-31,2021-08-31 03:18,America/Chicago
2021-09-07,2021-09-07 10:11,America/Chicago
2021-09-14,2021-09-14 10:47,America/Chicago
2021-09-21,2021-09-21 09:30,America/Chicago
2021-09-28,2021-09-28 08:18,America/Chicago
2021-10-05,2021-10-05 12:42,America/Chicago
2021-10-12,2021-10-12 10:54,America/Chicago
2021-10-19,2021-10-19 14:52,America/Chicago
2021-10-26,2021-10-26 10:32,America/Chicago
2021-05-07,2021-05-07 08:36,America/Chicago
2021-05-14,2021-05-14 17:47,America/Chicago
2021-05-21,2021-05-21 07:19,America/Chicago
2021-05-28,2021-05-28 20:15,America/Chicago
2021-06-04,2021-06-04 22:29,America/Chicago
2021-06-11,2021-06-11 17:04,America/Chicago
2021-06-18,2021-06-18 14:06,America/Chicago
2021-06-25,2021-06-25 01:08,America/Chicago
2021-07-02,2021-07-02 11:59,America/Chicago
2021-07-09,2021-07-09 09:09,America/Chicago
2021-07-16,2021-07-16 12:51,America/Chicago
2021-07-23,2021-07-23 15:09,America/Chicago
2021-07-30,2021-07-30 05:39,America/Chicago
2021-08-06,2021-08-06 18:36,America/Chicago
2021-08-13,2021-08-13 09:42,America/Chicago
2021-08-20,2021-08-20 18:32,America/Chicago
2021-08-27,2021-08-27 13:11,America/Chicago
2021-09-03,2021-09-03 09:13,America/Chicago
2021-09-10,2021-09-10 13:17,America/Chicago
2021-09-17,2021-09-17 21:05,America/Chicago
2021-09-24,2021-09-24 11:25,America/Chicago
2021-10-01,2021-10-01 23:13,America/Chicago
2021-10-08,2021-10-08 00:26,America/Chicago
2021-10-15,2021-10-15 09:06,America/Chicago
2021-10-22,2021-10-22 00:02,America/Chicago
2021-10-29,2021-10-29 01:25,America/Chicago
2021-05-06,2021-05-06 22:09,America/Chicago
2021-05-13,2021-05-13 17:59,America/Chicago
2021-05-20,2021-05-20 19:31,America/Chicago
2021-05-27,2021-05-27 16:14,GMT
2021-06-03,2021-06-03 06:27,America/Chicago
2021-06-10,2021-06-10 20:08,America/Chicago
2021-06-17,2021-06-17 16:32,GMT
2021-06-24,2021-06-24 21:28,GMT
2021-07-01,2021-07-01 15:18,America/Chicago
2021-07-08,2021-07-08 07:51,America/Chicago
2021-07-15,2021-07-15 23:11,America/Chicago
2021-07-22,2021-07-22 20:47,America/Chicago
2021-07-29,2021-07-29 20:24,GMT
2021-08-05,2021-08-05 13:10,America/Chicago
2021-08-12,2021-08-12 18:30,America/Chicago
2021-08-19,2021-08-19 23:18,America/Chicago
2021-08-26,2021-08-26 05:19,GMT
2021-09-02,2021-09-02 19:38,America/Chicago
2021-09-09,2021-09-09 08:55,America/Chicago
2021-09-16,2021-09-16 07:51,America/Chicago
2021-09-23,2021-09-23 23:18,America/Chicago
2021-09-30,2021-09-30 18:06,America/Chicago
2021-10-07,2021-10-07 18:14,America/Chicago
2021-10-14,2021-10-14 06:39,America/Chicago
2021-10-21,2021-10-21 16:34,GMT
2021-10-28,2021-10-28 18:35,America/Chicago
